"","Episode","word","value"
"1","s1e1","lonesome",-2
"2","s1e1","dear",2
"3","s1e2","great",3
"4","s1e2","pretty",1
"5","s1e2","no",-1
"6","s1e2","nice",3
"7","s1e2","promised",1
"8","s1e2","clean",2
"9","s1e3","recommend",2
"10","s1e3","lucky",3
"11","s1e3","no",-1
"12","s1e3","no",-1
"13","s1e3","no",-1
"14","s1e3","no",-1
"15","s1e3","no",-1
"16","s1e3","no",-1
"17","s1e3","want",1
"18","s1e4","funeral",-1
"19","s1e4","good",3
"20","s1e4","care",2
"21","s1e4","join",1
"22","s1e4","yes",1
"23","s1e5","no",-1
"24","s1e5","best",3
"25","s1e6","god",1
"26","s1e6","awful",-3
"27","s1e6","great",3
"28","s1e6","pleasant",3
"29","s1e6","courteous",2
"30","s1e6","ability",2
"31","s1e6","please",1
"32","s1e7","clear",1
"33","s1e7","fine",2
"34","s1e7","hiding",-1
"35","s1e7","like",2
"36","s1e7","screams",-2
"37","s1e7","chance",2
"38","s1e7","risk",-2
"39","s1e8","no",-1
"40","s1e8","no",-1
"41","s1e8","yes",1
"42","s1e8","rejected",-1
"43","s1e8","welcome",2
